lot_number,oper,cust,pin_pkg,prod_id,qty,part_id,part_no,bd_id,entity,start_time,end_time
R23ABFK07,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB882,2022-06-08 22:39:02,2022-06-09 04:45:49
R23ABFG15,2200,WINBOND,DFN-08YQ3AW,008YQAB122,698,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-06 08:06:00,2022-06-06 08:51:43
R23ABFG11,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-06 08:51:43,2022-06-06 14:58:30
R23ABFG03,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-06 14:58:30,2022-06-06 21:05:18
R23ABFG10,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-06 21:05:18,2022-06-07 03:12:06
R23ABFG02,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-07 03:12:06,2022-06-07 09:18:53
R23ABFG09,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-07 09:18:53,2022-06-07 15:25:41
R23ABFG01,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-07 15:25:41,2022-06-07 21:32:29
R23ABFG12,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-07 21:32:29,2022-06-08 03:39:17
R23ABFK06,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-08 03:39:17,2022-06-08 09:46:04
R23ABFK12,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-08 09:46:04,2022-06-08 15:52:52
R23ABFK10,2200,WINBOND,DFN-08YQ3AW,008YQAB122,5600,1091A07T21,A0803CB1341,AAB008YQ3028A,BB883,2022-06-08 15:52:52,2022-06-08 21:59:40
