,bd_id_1,bd_id_2,end_time,entity,jobcode,lot_num_1,lot_num_2,number,start_time,start_time_trans,end_time_trans
0,AOK048TV1029A,ABU024XJ8004A,2312.4809,BB212,"CWN,SC,CSC",R22OKA805,R20VGBB02,BB212_3,2102.4809,2022-06-07 19:08:28,2022-06-07 22:38:28
1,ATM063KZ1001A,ALW078C93001A,668.0,BB226,"MC,CSC",R23TMBB01,R23LWAD02,BB226_1,494.0,2022-06-06 16:20:00,2022-06-06 19:14:00
2,AMS078EN4002A,ABU024XJ6003A,519.0,BB232,"MC,CSC",R82CMBF01,R23VGA603,BB232_1,345.0,2022-06-06 13:51:00,2022-06-06 16:45:00
3,ABU084CC2001C,AMS078EP1001A,174.0,BB441,"MC,CSC",,R23MSKR02,BB441_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
4,ABU096EA1001A,AMS096EC3001B,174.0,BB447,"MC,CSC",,R23MSLE07,BB447_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
5,AMS048TW1064A,AAW024MA6013C,210.0,BB451,"CWN,SC,CSC",,R23AWBF07,BB451_1,0.0,2022-06-06 08:06:00,2022-06-06 11:36:00
6,AAW024MA6013C,AMS096EC3001B,1761.068684,BB451,"CWN,SC,CSC",R23AWBG03,R23MSMK08,BB451_4,1551.068684,2022-06-07 09:57:04,2022-06-07 13:27:04
7,ABU096EA1001A,AMS096EC1002A,319.0,BB454,"MC,CSC",R23BUAX02,R23MSMZ02,BB454_1,145.0,2022-06-06 10:31:00,2022-06-06 13:25:00
8,AMS078C91003A,AMS096EC1002A,174.0,BB462,"MC,CSC",,R23MSM902,BB462_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
9,AMS078EN4001A,AMS078EN1006A,174.0,BB471,"MC,CSC",,R23MSP405,BB471_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
10,AVE048XV7001A,AAB096EF3001A,174.0,BB476,"MC,CSC",,R23ABHJ06,BB476_1,0.0,2022-06-06 08:06:00,2022-06-06 11:00:00
