wrto_route,wrto_oper,wrto_seq_num,wrto_opr_shrt_desc
BGA326,2070,12,D/A
BGA326,2080,13,D/A CURE
BGA326,2150,14,PLASMA
BGA326,2090,15,POST D/A Q
BGA326,2200,16,W/B
BGA326,2205,17,A41
BGA326,2209,18,BMP
BGA326,2210,19,3IP
BGA326,2250,20,PLASMA
BGA326,2230,21,M/D QUEUE
BGA326,2300,22,M/D
BGA326,2320,23,T/M
BGA326,6000,24,WTC2
BGA326,2330,25,PMC
BGA326,2405,26,PLASMA
BGA326,2410,27,S/P
BGA326,2430,28,F/S
BGA326,2435,29,P/P
BGA326,2440,30,O/S
BGA326,2450,31,L/S
BGA326,2460,32,F/V
BGA326,2470,33,4IP
BGA326,2480,34,PACK
BGA326,2490,35,SHIP
BGA327,2000,1,IQC
BGA327,2003,2,TPM
BGA327,2005,3,TAPING
BGA327,2010,4,LAPPING
BGA327,2020,5,A21 QUEUE
BGA327,2030,6,W/M
BGA327,2040,7,D/S
BGA327,2050,8,A31
BGA327,2056,9,AOI
BGA327,2059,10,AOIR
BGA327,2060,11,2IP
BGA327,2070,12,D/A
BGA327,2080,13,D/A CURE
BGA327,2150,14,PLASMA
BGA327,2090,15,POST D/A Q
BGA327,2200,16,W/B
BGA327,2205,17,A41
BGA327,2209,18,BMP
BGA327,2210,19,3IP
BGA327,2250,20,PLASMA
BGA327,2230,21,M/D QUEUE
BGA327,2300,22,M/D
BGA327,2320,23,T/M
BGA327,6000,24,WTC2
BGA327,2330,25,PMC
BGA327,2405,26,PLASMA
BGA327,2410,27,S/P
BGA327,2430,28,F/S
BGA327,2435,29,P/P
BGA327,2440,30,O/S
BGA327,2450,31,L/S
BGA327,2460,32,F/V
BGA327,2470,33,4IP
BGA327,2480,34,PACK
BGA327,2490,35,SHIP
BGA334,2000,1,IQC
BGA334,2003,2,TPM
BGA334,2005,3,TAPING
BGA334,2010,4,LAPPING
BGA334,2020,5,A21 QUEUE
BGA334,2030,6,W/M
BGA334,2040,7,D/S
BGA334,2050,8,A31
BGA334,2056,9,AOI
BGA334,2059,10,AOIR
BGA334,2060,11,2IP
BGA334,2070,12,D/A
BGA334,2080,13,D/A CURE
BGA334,2150,14,PLASMA
BGA334,2090,15,POST D/A Q
BGA334,2200,16,W/B
BGA334,2210,17,3IP
BGA334,2250,18,PLASMA
BGA334,2230,19,M/D QUEUE
BGA334,2300,20,M/D
BGA334,2320,21,T/M
BGA334,6000,22,WTC2
BGA334,2330,23,PMC
BGA334,2422,24,PCL
BGA334,2410,25,S/P
